sep=,
"ID","NAME","NAT","OA","LEA","MEC","ELE","AER","EXP","PIT","MOT","AGE","RET","SAL","FEE","OFF"
"1193","Sergio Chiti","ITA","50","0","86","197","76","0","33","0","58","0","250000","3","0"
"2337","Vincent Lagard&egrave;re","FRA","50","0","119","55","174","0","41","0","50","0","250000","3","0"
"928","Charles McGee","GBR","51","0","116","170","128","0","12","0","61","0","255000","3","0"
"1031","Mick Mosley","GBR","51","0","161","154","78","0","24","0","50","0","255000","3","0"
"1186","Humphrey Donnelly","GBR","51","0","65","108","107","15","69","0","56","0","250000","127500","0"
"1374","Pat Stepney","GBR","51","0","63","100","195","0","37","0","48","0","250000","3","0"
"1825","Flavio Todt","FRA","51","0","177","174","89","0","0","0","69","0","255000","208","0"
"1961","Jason Coppuck","GBR","51","0","198","127","65","0","22","0","71","0","255000","3","0"
"2315","Ross Faure","GBR","51","0","78","129","172","0","29","0","62","0","255000","3","0"
"2356","George Chapman","GBR","51","0","162","53","164","0","31","0","55","0","260000","3","0"
"836","Robin McGee","GBR","52","0","54","188","115","0","46","0","57","0","260000","3","0"
"1406","Bob Handford","GBR","52","0","145","147","85","0","35","0","61","0","260000","3","0"
"1699","Gordon Bell","GBR","52","0","178","69","137","0","31","0","60","0","260000","3","0"
"1823","Rick Foster","GBR","52","0","146","185","99","0","7","0","69","0","265000","3","0"
"2262","Aleardo di Montezemolo","ITA","52","0","120","63","157","0","53","0","58","0","260000","3","0"
"734","Dick Stanford","GBR","53","0","137","85","173","0","28","0","68","0","265000","3","0"
"1342","Vincent Bigois","FRA","53","0","173","33","154","0","47","0","56","0","265000","3","0"
"1465","Sam Barnard","GBR","53","0","95","43","176","30","53","0","71","0","202500","42989","0"
"1495","Kevin Brett","GBR","53","0","178","92","147","0","17","0","67","0","265000","3","0"
"1606","Ross Pitchforth","GBR","53","0","64","151","174","0","34","0","49","0","265000","3","0"
"1865","Charles Walkinshaw","GBR","53","0","61","197","116","0","41","0","59","0","270000","3","0"
"1909","Peter Oastler","GBR","53","0","136","148","88","0","39","0","59","0","265000","3","0"
"2279","Olivier Message","GBR","53","0","148","80","86","0","69","0","56","0","265000","1938","0"
"2389","Andrea Piola","ITA","53","0","55","154","160","0","43","0","62","0","270000","3","0"
"2395","Mauro Caliri","ITA","53","0","174","56","181","0","22","0","62","0","270000","3","0"
"1663","Freddy Willis","USA","54","0","60","173","179","0","27","0","60","0","275000","3","0"
"1770","Tad Densham","GBR","54","0","134","155","122","0","24","0","55","0","270000","3","0"
"1815","Rupert Crooks","GBR","54","1","168","42","66","53","65","0","55","0","194000","7141","0"
"1830","Malcolm Brown","GBR","54","0","41","180","175","0","35","0","50","0","270000","3","0"
"2105","Chris Ryan","GBR","54","0","77","180","133","0","34","0","53","0","270000","3","0"
"2125","Rick Docherty","GBR","54","0","116","199","37","0","55","0","58","0","270000","3","0"
"2150","Pat Lisles","GBR","54","0","78","153","115","0","60","0","56","0","275000","3","0"
"869","Jason Moss","GBR","55","0","171","36","175","0","46","0","53","0","275000","3","0"
"993","Tad Pope","GBR","55","0","59","183","91","0","67","0","48","0","270000","3","0"
"1324","Nick Nichols","GBR","55","0","115","63","183","0","55","0","63","0","275000","3","0"
"2342","Ron Rees","GBR","55","0","180","127","110","0","26","0","51","0","275000","14753","0"
"1207","Alan de Cortanze","FRA","56","0","119","100","149","18","47","0","54","0","250000","30706","0"
"1292","Rob Watson","GBR","56","0","141","155","77","40","34","0","59","0","210001","20431","0"
"1402","Kevin Head","GBR","56","53","142","116","99","0","36","0","50","0","285000","3","0"
"1227","Gordon Brett","GBR","57","0","156","101","127","0","50","0","55","0","285000","4559","0"
"1786","Alan Gentry","GBR","57","0","191","141","94","0","32","0","46","0","256500","3","0"
"1891","Gavin Marchant","GBR","57","0","172","171","94","0","23","0","54","0","285000","3","0"
"2090","Daniele Petrotta","FRA","57","0","58","186","131","0","55","0","46","0","275000","3","0"
"1136","Alan Frisson","FRA","58","0","141","182","41","0","65","0","53","0","290000","3","0"
"1322","Bernard Ecclestone","GBR","58","0","144","52","197","0","51","0","41","0","275000","2315","0"
"1627","Luca Forghieri","ITA","58","0","165","72","149","0","55","0","50","0","290000","3","0"
"1884","Nick Bayram","USA","58","0","139","175","126","0","28","0","60","0","290000","138","0"
"2104","Kenji Tomita","JPN","58","0","99","176","124","15","43","0","60","0","290000","3","0"
"2251","James Mosley","GBR","58","0","148","72","193","0","40","0","49","0","285000","3","0"
"1675","Alex Foster","GBR","59","0","52","185","78","49","72","0","51","0","295000","55689","0"
"1848","Mario Marelli","ITA","60","75","167","81","131","0","31","0","51","0","300000","18934","0"
"2396","Peter Phillips","GBR","60","0","150","153","70","0","70","0","51","0","276000","8","0"
"1064","Chris Wyss","GBR","61","0","150","91","186","0","49","0","62","0","299999","3","0"
"1630","Tiago Calovolo","ITA","61","0","184","187","42","0","54","0","54","0","300000","3","0"
"1882","Max Brundle","GBR","62","0","83","161","129","0","77","0","52","0","275000","3","0"
"1224","Brian Peter","GBR","63","0","182","82","88","162","11","0","80","1","407142","297281","0"
"1502","Maurice Zava","FRA","63","142","37","134","102","0","62","0","45","0","315000","1153","0"
"1536","Nicolas Pininfarina","ITA","63","1","140","135","110","92","29","0","54","0","180000","88741","0"
"2198","Ron Herd","GBR","63","0","190","143","88","0","59","0","48","0","315000","3","0"
"2311","Robert Michael","GBR","63","7","126","97","55","55","98","0","55","0","175000","350000","0"
"1329","Christian Wickham","GBR","64","0","135","198","85","20","56","0","56","0","202000","30706","0"
"1026","Martin Symonds","GBR","65","0","130","177","99","13","70","0","49","0","250000","17000","0"
"1431","Kevin Bernard","GBR","65","138","100","115","85","0","58","0","49","0","300000","9121","0"
"1400","Charles Corbett","GBR","66","30","103","59","147","121","52","0","55","0","334875","843625","0"
"1333","Ray Taylor","GBR","67","105","151","125","131","0","29","0","48","0","295000","19688","0"
"1373","Bernard Burgess","GBR","67","0","48","128","137","93","84","0","57","0","380000","680000","0"
"2057","Bart Owen","GBR","67","180","145","127","82","0","21","0","45","0","335000","33135","0"
"2171","Tad Brett","GBR","67","107","176","69","131","0","43","0","46","0","325000","6338","0"
"1980","Tom Pitchforth","GBR","68","132","109","162","109","7","29","0","38","0","330000","1947","0"
"2165","Eric Crooks","GBR","68","174","51","151","92","0","59","0","36","0","340000","39539","0"
"1643","Charlie Williams","GBR","70","131","31","99","191","7","69","0","47","0","276250","340000","0"
"1658","Fran&ccedil;ois Hindenock","FRA","70","162","172","96","62","0","54","0","43","0","350000","34555","0"
"1773","Richard Faure","GBR","70","3","116","137","164","50","62","0","45","0","200000","314","0"
"1784","Ron Ross","GBR","70","167","53","191","93","2","43","2","35","0","350000","525000","0"
"1841","Malcom Wood","GBR","70","168","66","93","47","0","110","1","36","0","350000","525000","0"
"2433","Mariano Ferrari","ITA","70","180","37","134","102","17","62","0","45","0","214400","13837","0"
"1383","Pat Coughlan","GBR","71","193","59","129","93","0","66","0","32","0","360000","459000","0"
"1616","Nigel Scammell","GBR","72","135","170","56","161","37","29","0","49","0","210000","540000","0"
"2281","Sid Wright","GBR","72","152","35","171","197","12","24","0","47","0","280000","15750","0"
"2382","Denis Prodromou","FRA","72","153","36","167","114","0","73","0","39","0","360000","15753","0"
"1318","Ray Gorne","GBR","73","164","41","42","168","22","93","0","45","0","333000","521484","0"
"1570","Les Fisher","GBR","73","164","113","39","78","0","114","0","37","0","365000","272490","0"
"1729","Ray Brown","GBR","73","132","124","51","141","0","90","0","41","0","365000","16652","0"
"1796","Harvy Gascoyne","GBR","73","175","40","80","74","2","125","3","31","0","365000","547500","0"
"1213","Danny Nelson","GBR","74","169","91","72","183","1","58","0","32","0","375000","478125","0"
"1344","David Mertens","FRA","74","23","85","198","77","132","57","0","62","0","462126","327759","0"
"1529","Joanna Agathangelou","GBR","74","61","41","129","115","77","106","0","56","0","270000","255000","0"
"1122","Olivier Slark","GBR","75","184","57","42","126","1","115","0","30","0","380000","484500","0"
"1403","Flavio Audetto","FRA","75","143","128","86","118","25","69","0","40","0","284700","245242","0"
"1625","Tino Jenkins","GBR","75","190","141","119","33","7","76","0","32","0","370000","555000","0"
"1754","Tom Watkins","GBR","75","159","71","149","90","5","84","0","42","0","375000","212146","0"
"1782","Henri Audetto","FRA","75","39","133","133","82","71","90","0","56","0","360000","456461","0"
"1821","Jean-Marc Guilpin","FRA","75","58","128","121","124","89","61","0","53","0","334000","648550","0"
"1078","Nick Sutton","USA","76","75","31","92","42","107","149","0","55","0","446500","739500","0"
"1320","Ray Cruikshank","GBR","76","45","136","144","79","108","67","0","56","0","380000","722500","0"
"1535","Danny Corbett","GBR","76","174","57","176","145","0","51","0","36","0","390000","497250","0"
"1683","Christian Welti","CHE","76","145","58","57","75","34","141","0","54","0","385000","145812","0"
"1798","Fridge Robinson","GBR","76","184","58","92","145","0","85","1","35","0","380000","570000","0"
"2264","Peter Foster","GBR","76","170","190","120","101","11","29","0","49","0","255000","136246","0"
"1494","Gianni Gani","ITA","77","160","67","169","51","6","101","0","34","0","330000","37509","0"
"2321","Andrew Pitchforth","GBR","77","43","195","126","106","99","44","0","48","0","270000","221000","0"
"2369","Tiago Nenci","ITA","77","169","67","169","51","1","101","0","34","0","350000","19519","0"
"992","Adrian Pitchforth","GBR","78","5","124","161","121","104","77","0","50","0","350000","552713","0"
"1363","Jean-Pierre Ligier","FRA","78","170","72","94","86","0","120","0","46","0","390000","10448","0"
"1371","Max Baldwin","GBR","78","14","108","180","123","106","62","7","49","0","255000","541875","0"
"1846","John Wadrop","GBR","78","196","63","90","156","32","64","0","49","0","290000","279795","0"
"1947","Pat Cregan","GBR","78","147","98","53","170","74","64","0","54","0","395000","491300","0"
"1960","Brian Gow","GBR","78","144","38","192","81","14","99","0","40","0","310000","42000","0"
"2016","Charles Oatley","GBR","78","159","41","62","177","0","112","0","35","0","315000","25474","0"
"2126","Dave Burgess","GBR","78","172","190","106","111","10","38","0","37","0","385000","204530","0"
"1612","Ange Marelli","ITA","79","170","78","98","130","46","74","0","41","0","300123","108997","0"
"1985","James Burrows","GBR","79","166","65","126","44","0","135","0","38","0","395000","45757","0"
"2185","Dick Belli","GBR","79","174","200","93","62","9","69","0","45","0","304200","334000","0"
"2333","Bernard Mosley","GBR","79","188","133","50","174","12","61","0","45","0","320000","52413","0"
"1397","Charlie Slark","GBR","80","0","156","51","42","125","154","0","70","0","570000","1530000","0"
"1501","Fridge Anderson","GBR","80","153","124","179","145","0","42","0","44","0","400000","510000","0"
"1636","Bruno Gousset","FRA","80","69","105","154","99","116","71","0","54","0","350000","1000000","0"
"1670","Tomasso Forghieri","ITA","80","182","58","137","158","62","41","0","54","0","261000","250000","0"
"2008","Gary Coughlan","GBR","80","91","79","90","40","81","149","4","55","0","385000","1000000","0"
"2053","Rod Stokoe","GBR","80","193","101","198","37","57","50","0","51","0","225554","500000","0"
"2371","Jean-Claude Prost","FRA","80","191","144","99","171","2","38","1","39","0","400000","600000","0"
"858","Simon Putt","GBR","81","1","78","108","168","190","73","0","76","0","1045000","2805000","0"
"1116","Mike Wirth","GBR","81","0","71","45","153","131","146","0","67","0","475000","1275000","0"
"1693","Charlie Gascoyne","GBR","81","162","58","30","153","47","101","24","42","0","320000","960000","0"
"2052","Cesare Costin","ITA","81","29","135","143","52","142","97","0","50","0","400000","578000","0"
"1124","Jean-Claude Lampredi","FRA","82","166","174","67","45","0","124","0","45","0","410000","522750","0"
"1315","Harvy Martin","GBR","82","192","142","113","43","1","106","0","36","0","415000","529125","0"
"1696","Joanna White","GBR","82","134","144","93","85","38","104","0","41","0","375000","850500","0"
"1760","Max Donnelly","GBR","82","156","106","73","189","1","86","1","41","0","410000","615000","0"
"1780","Ben Brett","GBR","82","146","58","192","136","37","65","0","46","0","308000","785400","0"
"1791","Paulo Martini","ITA","82","134","175","147","165","26","26","0","36","0","410000","35142","0"
"1839","Rod Shovlin","GBR","82","197","71","143","89","38","82","0","37","0","399000","500000","0"
"1843","Bernard Edwards","GBR","82","184","39","173","135","13","77","0","45","0","351123","127319","0"
"1938","John Boulter","AUS","82","64","110","144","61","144","88","0","53","0","525000","1000000","0"
"1972","Terence Walters","GBR","82","186","174","97","144","16","41","0","33","0","400000","600000","0"
"2305","Tom Radage","GBR","82","94","174","47","63","129","97","0","43","0","600000","800000","0"
"2379","Nick Oastler","GBR","82","169","107","170","102","0","75","0","42","0","410000","106682","0"
"1196","Bernie Bell","GBR","83","67","36","74","147","126","127","0","44","0","400000","16803","0"
"1530","Roberto Divila","ITA","83","147","147","171","76","19","74","0","48","0","330000","469625","0"
"1672","Harald Poirrot","BEL","83","150","108","194","74","21","79","0","39","0","410000","98064","0"
"1777","Les Bailey","GBR","83","26","117","47","121","82","157","0","48","0","461000","1382000","0"
"1827","Les Walkinshaw","GBR","83","167","91","195","176","0","38","1","30","0","415000","622500","0"
"1864","Rob Tyrrell","GBR","83","175","140","128","88","3","86","0","41","0","350000","377149","0"
"2115","Rob Foster","GBR","83","185","191","90","118","14","55","0","40","0","328001","218304","0"
"1074","Guy Rodrigues","FRA","84","19","145","56","177","153","84","0","55","0","432250","128853","0"
"1473","Graham Wass","GBR","84","69","120","67","173","140","72","0","47","0","429545","337769","0"
"1713","Tomasso Buzzi","ITA","84","148","39","158","182","36","61","19","44","0","309737","929211","0"
"1926","Ronald Brown","GBR","84","154","46","135","66","55","130","0","40","0","410000","272490","0"
"2310","Herve Larrousse","FRA","84","164","176","110","94","12","80","0","41","0","426000","500000","0"
"2335","Andrea Merzario","ITA","84","36","57","90","163","169","85","18","63","0","300000","600000","0"
"1022","Sam Bennett","GBR","85","70","60","186","80","117","104","0","56","0","781380","807505","0"
"1631","Humphrey Collins","GBR","85","181","139","96","124","5","89","0","40","0","425000","202717","0"
"1875","Calvin Carlin","GBR","85","139","187","80","189","34","47","0","40","0","410000","113145","0"
"2151","Gordon Chapman","GBR","85","188","96","110","88","5","119","0","45","0","475000","1350000","0"
"2243","Stefano Piccinini","ITA","85","176","112","166","143","27","49","0","46","0","425000","417467","0"
"2419","David Moss","GBR","85","193","89","129","177","0","66","3","32","0","425000","637500","0"
"1420","Maurice Rodrigues","FRA","86","158","179","147","76","13","82","0","51","0","400000","127500","0"
"1568","Max Smith","GBR","86","160","132","42","174","0","112","0","32","0","430000","151130","0"
"2071","Iannio Pininfarina","ITA","86","177","72","76","117","30","132","0","34","0","550000","1500000","0"
"2215","Mark Walker","GBR","86","168","171","185","102","20","36","10","41","0","450000","74252","0"
"2261","Rupert Marchant","GBR","86","199","148","44","67","32","120","0","44","0","400000","520000","0"
"2301","Henri Bigois","FRA","86","164","41","187","127","25","97","0","42","0","415000","622500","0"
"553","Arturo Martini","ITA","87","0","98","197","158","17","138","0","69","0","440000","170000","0"
"974","Martin Belli","GBR","87","74","175","32","188","0","138","0","44","0","435000","6102","0"
"1361","Robert Stroud","GBR","87","171","188","76","35","47","112","0","51","0","350000","224404","0"
"1989","Andr&eacute; Migeot","FRA","87","148","168","150","99","17","80","0","36","0","362000","282862","0"
"2080","Martin Judd","GBR","87","193","191","74","134","16","69","0","42","0","390000","645000","0"
"691","Ronald Baldwin","GBR","88","9","140","93","177","105","111","0","68","0","570000","850000","0"
"1265","Enrique Pasquali","ITA","88","173","32","70","190","6","139","0","43","0","435000","471431","0"
"1467","Rocco Gani","ITA","88","163","159","162","52","0","107","0","37","0","440000","561000","0"
"2141","Bernie Stubbs","GBR","88","191","120","187","137","24","44","0","42","0","385000","500500","0"
"2209","Patrick Pope","GBR","88","182","59","146","100","54","106","0","38","0","420000","1020000","0"
"2250","Ben Marchant","GBR","88","196","52","177","114","9","101","0","38","0","435000","652500","0"
"2418","Simon Moody","GBR","88","172","185","41","97","31","112","0","48","0","380000","433500","0"
"2451","Franz Tost","AUT","88","161","71","119","95","70","116","0","48","0","385000","290000","0"
"457","Boss Bernard","GBR","89","0","39","165","185","48","161","0","60","0","445000","120906","0"
"541","Ben Nichols","GBR","89","0","154","84","71","180","127","11","68","0","450000","975375","0"
"735","Christian Orme","GBR","89","141","81","155","153","10","108","0","39","0","445000","22800","0"
"883","Malcolm Richards","AUS","89","1","141","93","127","215","75","18","65","0","451000","1113500","0"
"942","Francesco Marinelli","ITA","89","65","158","39","193","117","93","0","52","0","522499","807500","0"
"1075","Tsutomu Mimura","JPN","89","86","47","169","137","0","160","0","39","0","445000","120629","0"
"1187","Nick Corbett","GBR","89","170","132","43","140","38","108","15","39","0","432000","204000","0"
"1289","Juan Zafarrelli","ITA","89","2","194","102","142","235","16","34","63","0","455000","875129","0"
"1317","Rob Manwaring","GBR","89","55","172","59","187","272","6","0","69","0","712500","1912500","0"
"1656","Trevor Oatley","GBR","89","174","133","116","116","8","104","0","39","0","560000","1010000","0"
"1743","Simon Iley","GBR","89","155","86","73","161","2","141","2","43","0","445000","667500","0"
"1785","Denis Lampredi","FRA","89","0","134","105","136","191","95","0","66","0","460000","1300000","0"
"2278","Sid Parish","GBR","89","157","127","118","68","13","136","0","38","0","400000","491300","0"
"472","Peter Pope","GBR","90","0","129","190","96","113","112","13","71","0","455000","89101","0"
"589","Dana Matakadis","GRC","90","0","194","185","83","6","152","0","63","0","479750","1275000","0"
"615","Harvy Oastler","GBR","90","28","53","62","95","144","176","20","52","0","460750","85500","0"
"621","Charles Orme","GBR","90","50","33","147","110","165","133","0","64","0","631750","842467","0"
"705","Dick Ferris","GBR","90","2","60","186","159","34","165","0","58","0","400000","127500","0"
"905","Phil Faure","GBR","90","50","88","78","163","150","120","0","51","0","389234","552713","0"
"938","Rick Oliver","GBR","90","22","161","129","53","167","117","0","54","0","315999","805797","0"
"978","Joanna Robinson","GBR","90","127","131","115","64","7","164","0","32","0","350000","27100","0"
"1080","Mike McQuilliam","GBR","90","0","170","115","176","169","71","0","60","0","480558","783010","0"
"1143","Bernard Densham","GBR","90","30","127","63","153","136","131","0","59","0","475000","1020000","0"
"1223","Renato Sordo","ITA","90","0","111","136","185","131","103","0","55","0","450000","170000","0"
"1948","Max Broadley","GBR","90","32","197","53","169","109","102","0","43","0","410000","75005","0"
"2406","Humphrey Walker","GBR","90","107","95","79","65","128","127","27","53","0","850000","2500000","0"
"2411","Trevor McGee","GBR","90","50","164","55","82","195","112","0","60","0","435000","943500","0"
"144","Iannio Marinelli","ITA","91","0","149","88","49","91","198","0","52","0","354000","102838","0"
"362","Steve Robertson","IRL","91","11","34","192","107","119","155","0","61","0","529429","1017912","0"
"476","Mike Burgess","GBR","91","28","76","127","131","134","140","0","65","0","350000","578000","0"
"557","John Lisles","GBR","91","191","124","144","39","0","138","0","30","0","455000","159815","0"
"577","Gordon Belli","GBR","91","80","74","61","173","0","194","0","41","0","455000","3","0"
"608","Thomas Marinelli","ITA","91","31","122","134","149","0","169","0","37","0","455000","3","0"
"617","Nick Moody","GBR","91","0","197","139","84","0","178","0","41","0","300000","133","0"
"637","Ricardo Lunetta","ITA","91","25","121","91","59","103","190","0","49","0","570000","1530000","0"
"659","Franck Choulet","FRA","91","31","78","53","192","6","208","0","39","0","522500","962202","0"
"666","Rory Brundle","GBR","91","126","73","108","181","14","138","0","37","0","382884","976353","0"
"686","Tim Phillips","GBR","91","5","154","137","92","60","163","0","54","0","450000","469881","0"
"739","Peter Levein","IRL","91","0","195","169","136","0","140","0","52","0","455000","3","0"
"768","Rob Simpson","GBR","91","0","138","124","174","29","156","0","52","0","589000","259367","0"
"780","Richard Gennari","ITA","91","120","92","74","197","74","108","0","51","0","381000","255194","0"
"783","Ronald Stepney","GBR","91","125","50","88","150","19","174","0","39","0","474050","655886","0"
"806","Christian Windsor","GBR","91","129","146","83","67","19","164","0","40","0","455000","61413","0"
"826","Eric McGee","GBR","91","63","94","143","65","257","76","0","71","0","455000","650916","0"
"875","Gianni Buzzi","ITA","91","0","184","172","95","154","85","0","66","0","390001","660179","0"
"876","Ray Brett","GBR","91","149","188","58","200","0","89","0","29","0","450000","31806","0"
"884","George Hart","GBR","91","61","124","102","189","67","117","0","46","0","455000","307063","0"
"914","Fridge Lisles","GBR","91","32","92","68","79","261","122","0","69","0","340000","340068","0"
"916","Tom Mosley","GBR","91","62","161","80","189","175","56","0","53","0","468585","631270","0"
"975","James Symonds","GBR","91","5","48","163","96","145","159","2","49","0","358000","139273","0"
"995","Malcom Ryton","GBR","91","0","63","167","197","20","163","0","49","0","346000","24182","0"
"1012","Pierre Guiter","FRA","91","111","124","169","137","0","117","0","31","0","455000","6","0"
"1014","Brian Taylor","GBR","91","0","55","172","56","234","128","0","68","0","532001","944444","0"
"1024","James Gow","GBR","91","20","178","76","167","184","75","0","64","0","464395","299740","0"
"1035","Bernard Murray","GBR","91","61","127","61","161","0","185","0","40","0","455000","3","0"
"1045","Joanna Taylor","GBR","91","5","188","118","85","319","29","0","76","0","855000","2295000","0"
"1047","Nigel Stewart","GBR","91","117","59","79","161","17","170","0","39","0","450000","722500","0"
"1084","Dick Phillips","GBR","91","116","71","164","154","20","123","0","37","0","360000","1938","0"
"1092","Charlie Tyrrell","GBR","91","45","166","40","200","0","163","0","41","0","455000","3","0"
"1142","Nick Baldwin","USA","91","0","128","187","113","187","79","0","70","0","405000","158976","0"
"1180","Christian Mosley","GBR","91","0","149","101","166","157","100","0","62","0","617500","216750","0"
"1254","Gordon Docherty","GBR","91","43","134","140","77","205","87","0","63","0","430000","212500","0"
"1258","Robin Bunion","GBR","91","140","199","79","167","24","82","0","41","0","440000","614125","0"
"1442","Robin Baldwin","GBR","91","0","54","63","174","210","93","57","60","0","360000","160621","0"
"1484","Luigi Piola","ITA","91","67","34","160","148","157","104","0","59","0","450000","510000","0"
"1521","David Fowell","GBR","91","124","168","147","130","6","100","0","32","0","527250","1411000","0"
"1532","Marcel Rosche","DEU","91","4","178","111","68","185","115","0","57","0","320000","161822","0"
"1678","Charlie Kelly","GBR","91","142","93","74","135","15","157","0","50","0","445000","113604","0"
"1701","Martin Wright","GBR","91","87","121","176","116","171","54","0","61","0","812250","1950750","0"
"1720","Cesare Colombo","ITA","91","199","36","154","113","6","134","0","32","0","450000","675000","0"
"1767","Sandro Caliri","ITA","91","25","180","180","160","149","40","0","49","0","649598","1248956","0"
"1794","Jack McQuilliam","GBR","91","31","181","139","166","197","31","0","58","0","586625","1300500","0"
"1845","Chris LeFleming","GBR","91","167","53","68","115","49","163","0","38","0","400000","450000","0"
"2100","Bob Nassar","USA","91","23","177","126","115","113","112","0","48","0","411111","140000","0"
"2102","Ciano Adami","ITA","91","39","123","142","51","316","54","0","71","0","390000","210000","0"
"2166","Gordon Walkinshaw","GBR","91","201","65","97","163","12","119","0","42","0","496375","578000","0"
"2184","Mike Stepney","GBR","91","198","70","35","151","19","153","0","33","0","532995","1280074","0"
"2221","Jason Simpson","GBR","91","153","80","61","78","14","193","0","36","0","450000","85698","0"
"2233","Malcom Owen","GBR","91","38","46","167","131","138","126","0","44","0","450000","722500","0"
"2246","Jean-Pierre Zava","FRA","91","3","93","78","104","134","181","0","57","0","212124","119000","0"
"2284","Pat Donnelly","GBR","91","198","65","129","189","37","80","0","49","0","400000","700000","0"
"2317","Bernard Choulet","FRA","91","9","144","178","45","292","47","11","70","0","557294","1197544","0"
"2332","Iannio Adami","ITA","91","39","145","187","51","188","85","0","54","0","475000","1375000","0"
"2360","Phil Tyrrell","GBR","91","83","47","189","104","182","84","0","51","0","455000","652247","0"
"2364","Alan Briatore","ITA","91","149","110","190","76","24","113","0","37","0","400000","246324","0"
"2423","David Wyss","GBR","91","191","179","46","146","54","67","15","52","0","433000","1299000","0"
"355","Mark Williams","GBR","92","0","71","144","172","0","197","0","46","0","420000","3","0"
"458","Terence Head","GBR","92","0","126","178","106","233","65","9","79","0","1002785","1156008","0"
"570","Graham Tyrrell","GBR","92","0","157","72","188","110","123","5","63","0","570000","1530000","0"
"578","Mick Wass","GBR","92","0","187","165","67","0","182","0","55","0","420000","3","0"
"586","Bernie Brunner","DEU","92","58","165","161","167","83","75","0","42","0","455000","532447","0"
"590","Alan Bellasi","ITA","92","107","111","188","82","0","148","0","31","0","460000","6","0"
"652","David Wilson","AUS","92","76","174","176","166","19","85","0","40","0","460000","565725","0"
"670","Max Handford","GBR","92","1","120","195","106","22","164","8","66","0","529530","412250","0"
"701","John Ashmore","AUS","92","70","181","95","127","13","148","0","40","0","450000","170000","0"
"750","Nigel Green","GBR","92","116","157","43","53","7","203","0","39","0","460000","108375","0"
"799","Maurice Guilpin","FRA","92","0","198","187","99","6","131","19","75","1","446000","18889","0"
"818","Graham Simpson","GBR","92","0","166","170","170","101","89","0","55","0","475000","1020000","0"
"907","Ray Hart","GBR","92","128","135","101","148","8","131","0","31","0","808450","212500","0"
"915","Brian Brett","GBR","92","119","122","187","53","8","147","0","29","0","523450","425000","0"
